L,nup,delta,U,seed,n,eq_son_full,eq_son_vertex,chi_son_full,chi_son_vertex,eq_sext_full,eq_sext_vertex,chi_sext_full,chi_sext_vertex,eq_d_full,eq_d_vertex,chi_d_full,chi_d_vertex,eq_dxy_full,eq_dxy_vertex,chi_dxy_full,chi_dxy_vertex
10,43,0.0,4.0,1,0.86,30.992124677721584,-16.891182218212542,4.037149118933908,-5.051998009600922,244.7735918240831,53.80813100774877,23.201643295809795,3.4144234878733664,192.04847462025273,15.787975087490748,51.19855501959921,2.73301920399751,219.61771776507672,-1.9872068649981365,46.100121666401286,-0.3214236314829939
10,43,0.0,4.0,2,0.86,31.048703034103703,-16.837612257737597,4.046630824592759,-5.056856628144102,244.5700579386641,53.90863923912436,23.12321707107007,3.3703047354827596,194.2896445086622,17.595661446306124,52.495975499022975,3.870067743916958,219.53847270996553,-2.6612504383286577,45.84950093736971,-0.9022866367936891
10,43,0.0,4.0,3,0.86,31.06773265706682,-16.80689569126148,4.052088367352521,-5.015894385595412,243.96131168385017,53.667034428513,23.10913783392151,3.4029673284823003,194.1621106041001,17.375882233517917,52.94487321029642,4.200952399477811,218.7836083228091,-2.975797700927975,45.82656745972894,-0.7673951418615548
10,43,0.0,4.0,4,0.86,30.96213302349114,-16.7877509311897,4.031131035979252,-5.00891656819155,244.2208195958462,53.74458634259033,23.168304488898183,3.444660407091509,194.8651798627421,18.098257860576613,53.50318716906243,4.8638519673272995,216.8693913412887,-4.054305838859882,44.977685280484096,-1.313804453175988
10,43,0.0,4.0,5,0.86,30.95496542138543,-16.736864502901277,4.036228147154153,-4.998424225601092,243.96027485554424,53.55407936212906,23.10213739494467,3.3979605055332187,195.3414737353247,19.38140094660222,53.37033745795465,5.132951699679803,218.30151405046604,-2.762435893584461,45.34038459328888,-0.8978247759684932
10,43,0.0,4.0,6,0.86,30.975030179939836,-16.675412527381546,4.039753432416916,-4.979685104767528,244.00136562538515,53.51718977173243,23.07631970548502,3.3973073414949204,197.93217835059767,20.66843424224146,53.50373374942192,4.663422870731359,219.47968634357417,-1.9285798494919777,46.03111524575231,-0.4654539258474964
10,43,0.1,4.0,1,0.86,31.04864920346588,-16.755779506566466,4.015111782137773,-5.00786073282249,242.83053097098735,53.017169799738824,22.94652144838468,3.392532964555619,194.44881989574083,18.885479017061797,52.41920547320444,4.22554589828173,219.10157924525296,-1.798061254292017,44.70334341531841,-1.4440982119235877
10,43,0.1,4.0,2,0.86,30.977642353823605,-16.676106716587974,3.994275611987308,-4.970134906929293,242.3947703947131,52.56934400185528,22.926892333759604,3.334815658434114,188.8578176276108,14.95275425049007,50.65949353235137,2.9725937543735403,217.3294866119361,-2.6887640409711273,44.46542394519139,-1.5492271601963494
10,43,0.1,4.0,3,0.86,31.05998010901369,-16.650269626252157,4.026371758149382,-4.959354091070391,241.68187890826897,51.89871950711402,22.85783677971404,3.2979302931276195,191.49157466267656,17.13543790138153,50.90491370386932,3.358806435982912,217.28227527334616,-3.675950820723471,44.32627896281971,-1.7253347865088564
10,43,0.1,4.0,4,0.86,31.029570521725212,-16.55466317697389,4.017842119117146,-4.982263189793401,241.55149250878665,51.96499771662451,22.7993805292467,3.258138308699908,193.50659778946903,18.565350624383047,52.45816305142032,4.378282276300099,217.1589391625112,-2.8289413505993033,44.30195988474982,-1.6435875990124558
10,43,0.1,4.0,5,0.86,31.237924579106657,-16.626961872437832,4.056897901858791,-5.013240738927602,242.51672664542608,52.36974366858452,22.893311216206328,3.2945794333255165,195.99075694835383,19.91886733589753,53.31334801197987,4.806973395440425,219.11206520270065,-2.750083379808511,44.906179460765536,-1.6813341267118715
10,43,0.1,4.0,6,0.86,31.099365435062644,-16.76421398435631,4.040839605780426,-5.0046673897095655,242.24479469452584,52.517474742855654,22.877739824103863,3.2940160986509377,192.74821110647056,16.928532093945034,52.42763875049205,4.037147666086201,216.36404949990043,-3.45102118915685,44.059473613653346,-1.773830618133298
10,43,0.2,4.0,1,0.86,31.29185149689987,-16.702642863264177,3.9814961138536766,-5.044565794614694,238.8663687770758,51.0734656003433,22.48055210293854,3.283854522127111,190.45408338779663,16.68422906319828,52.52347766083917,4.854631955270198,216.76843142419912,-1.6568174611588635,42.41050418467931,-2.6780284857056644
10,43,0.2,4.0,2,0.86,31.36464221347298,-16.56236054330387,3.9961506863374496,-4.991792546980942,238.11531167787575,50.191139173349505,22.39489242847958,3.1788022180313553,185.54655403596635,12.712648178836512,49.601551878468946,2.2888489349584207,214.92543611887567,-3.3351318162220616,41.5663766592623,-3.5082390987628203
10,43,0.2,4.0,3,0.86,31.314109731657076,-16.507559651652734,3.978785762812003,-4.963448148786858,238.49473140907875,50.55091746378277,22.369119482046035,3.190765305978953,188.59361235792736,16.127423500500623,49.657107996709286,2.5580296026410423,217.57664579377212,-0.4949965955647372,42.15080055826985,-2.6271964384154596
10,43,0.2,4.0,4,0.86,31.21330467163741,-16.399461082620086,3.9740305815565846,-4.922970794482014,237.41742044338488,49.55804606125302,22.279049007549908,3.106849906856138,187.302581825962,15.266878202818368,50.37116983027495,3.3990539571802207,214.95952866324052,-2.409600999288544,41.35217396923779,-3.297747622177012
10,43,0.2,4.0,5,0.86,31.412015680161563,-16.639018655399504,3.99295956171078,-5.049255411225635,238.08417790945228,50.13303227868452,22.379199937579997,3.1921589940632775,187.38493366100357,14.12247353426709,50.797405543751175,3.1196253747192224,217.0967998373239,-1.275189969841557,42.15474346190791,-2.921303547885383
10,43,0.2,4.0,6,0.86,31.32103054655294,-16.480635342825128,3.987411796872246,-4.952373464266879,238.17889050280127,50.41198473918378,22.361415434877028,3.1839763130513283,190.9745401337156,17.667026360010468,51.73620266626617,4.22219255898775,216.4699408335755,-1.3779843954723716,42.234826061634294,-2.671280385792053
10,43,0.3,4.0,1,0.86,31.47458696963646,-15.886478423999025,3.870757471841125,-4.765142043970751,232.6240939928278,46.75790734579394,21.672385932963476,2.9496314820047003,180.3154608146894,12.874809936953913,48.32053474998232,2.8469366067924193,212.76098160555995,3.707840184281867,36.26804048115491,-3.8101688953202975
10,43,0.3,4.0,2,0.86,31.52726999418017,-15.969015215182171,3.899991830446438,-4.8120555739667,232.0645208583529,46.549946039605075,21.655624712054117,2.967944574746277,179.52494998663428,11.933216101511729,47.72230847183673,2.0446947161293707,212.14029465935175,3.579256959119725,36.422481555735445,-3.849230593779425
10,43,0.3,4.0,3,0.86,31.628814028645536,-16.17737533142774,3.926938580422393,-4.89497045686114,232.34330337307432,47.074317587243655,21.685369062436223,2.994932873858634,179.71332204142095,12.067663393799222,47.36021347719397,1.6397151209122338,212.66392767228632,3.799923622708101,36.62418392486223,-3.838202891045216
10,43,0.3,4.0,4,0.86,31.652234869450385,-16.14045922702351,3.919278666726719,-4.92890025059219,232.11301617351955,46.75703782268803,21.684889463399628,2.9939573853414374,182.399440414872,13.573655542795262,48.486962577936445,2.2528481353229575,212.7403647301412,3.6047057387003423,36.617406929292756,-3.9054706963871304
10,43,0.3,4.0,5,0.86,31.595600901856432,-15.841921026595877,3.928357943314933,-4.802687091175893,231.99165669288237,46.30587855882369,21.720386769449497,2.9490640926248988,180.8868005456833,12.76471896276738,47.72555727319691,1.648186775982601,213.72967266765917,4.986083806240829,36.429413489754594,-3.483912273908686
10,43,0.3,4.0,6,0.86,31.524963961402097,-15.730314004316885,3.9049638830504847,-4.739207562601891,232.08996176903185,46.33566251328901,21.64288459747383,2.950465620262334,181.1394198636988,12.50170433952636,49.036212826618154,3.0319999280420067,212.54139078886504,3.598358761683662,36.623051043282224,-3.4929993336398604
10,43,0.4,4.0,1,0.86,32.63556603150941,-16.2219972612989,3.995332272695128,-5.050150657341532,224.86115274627596,42.7161559015021,20.784556321500745,2.5693724031559793,195.54246004407185,7.38855073123292,57.72266109696238,1.2184467697434451,217.9106383044244,26.059988909907332,30.129190618135347,0.3457021957875561
10,43,0.4,4.0,2,0.86,32.537892363057075,-16.02077840273861,3.9742207110038903,-4.985869919555226,223.9408857899693,42.09996288634151,20.619540588420826,2.4229503412642925,195.0709352053049,7.248600485037357,56.961360795588746,0.5996636669636498,216.55934016698728,25.125531535770826,29.76299373122929,0.1124762100468995
10,43,0.4,4.0,3,0.86,32.56916085465136,-15.996742188925332,3.9860201878125823,-4.998781456187705,223.87727431971624,42.19162183569134,20.686334771381684,2.504769872699429,195.01671876913065,7.338195579831113,57.305647581412,0.9095957694957468,215.88826148782624,24.545740219532465,29.67242497818204,0.0050284820614987
10,43,0.4,4.0,4,0.86,32.58243641532759,-16.059873003813536,3.995669406046171,-4.973894768594638,224.7290816260835,42.34112141024666,20.71540745030318,2.4638146822927096,198.1646258840657,9.819036109396198,58.47775178435514,2.050275138072349,216.07746110664417,24.64343303717274,29.776357595986656,0.0726736446443316
